first_name,last_name,rut,course,level
Juan,Pérez García,12345678-5,1° Básico,Básico
María,López Hernández,23456789-0,2° Básico,Básico
Pedro,González Müller,34567890-1,3° Básico,Básico
Ana,Martínez Sánchez,45678901-2,4° Básico,Básico
Carlos,Rodríguez Díaz,56789012-3,5° Básico,Básico
Sofía,Fernández Torres,67890123-4,6° Básico,Básico
Diego,Vargas Sánchez,78901234-5,7° Básico,Básico
Isabella,Torres Rivera,89012345-6,8° Básico,Básico
Miguel,Mendoza Castro,01234567-8,1° Medio,Medio
Valentina,Silva Ortega,11223344-5,2° Medio,Medio
Alejandro,Navarro Rojas,22334455-6,3° Medio,Medio
Camila,Aguilar Pérez,33445566-7,4° Medio,Medio
